rp,population,rp_start,rp_end,cont_enrollment,age_grp,gender,state,lob,plantyp,datasource,mm
PRIOR,B.O.B,4/1/2017,3/31/2018,1,65 AND OLDER,2,MO,COMMERCIAL,Non-Cap POS,IBM-CCAE,2230
CURRENT,IP,4/1/2018,3/31/2019,1,55-64,1,KS,COMMERCIAL,PPO,IBM-CCAE,751
CURRENT,IP,4/1/2018,3/31/2019,0,18-34,F,UNKNOWN,MCR,OTH,OPTUM-SES,99
PRIOR,IP,4/1/2017,3/31/2018,1,45-54,1,PA,COMMERCIAL,Unknown,IBM-CCAE,46
PRIOR,B.O.B,4/1/2017,3/31/2018,0,65 AND OLDER,2,NC,COMMERCIAL,Others,IBM-CCAE,92
CURRENT,IP,4/1/2018,3/31/2019,0,55-64,2,DE,COMMERCIAL,Unknown,IBM-CCAE,5
PRIOR,B.O.B,4/1/2017,3/31/2018,0,65 AND OLDER,1,NJ,COMMERCIAL,PPO,IBM-MDCR,10124
PRIOR,IP,4/1/2017,3/31/2018,1,55-64,2,NV,COMMERCIAL,CDHP/HDHP,IBM-CCAE,291
CURRENT,IP,4/1/2018,3/31/2019,1,55-64,2,OH,COMMERCIAL,CDHP/HDHP,IBM-CCAE,1658
PRIOR,B.O.B,4/1/2017,3/31/2018,0,0-17,2,NV,COMMERCIAL,CDHP/HDHP,IBM-CCAE,9182
CURRENT,IP,4/1/2018,3/31/2019,0,18-34,2,LA,COMMERCIAL,HMO,IBM-CCAE,31
CURRENT,B.O.B,4/1/2018,3/31/2019,0,65 AND OLDER,M,MOUNTAIN,COM,HMO,OPTUM-SES,249
PRIOR,B.O.B,4/1/2017,3/31/2018,1,65 AND OLDER,1,MS,COMMERCIAL,Others,IBM-CCAE,1353
PRIOR,B.O.B,4/1/2017,3/31/2018,1,65 AND OLDER,1,SD,COMMERCIAL,Non-Cap POS,IBM-CCAE,48
CURRENT,B.O.B,4/1/2018,3/31/2019,1,55-64,1,NH,COMMERCIAL,CDHP/HDHP,IBM-CCAE,9722
CURRENT,IP,4/1/2018,3/31/2019,0,65 AND OLDER,1,IN,COMMERCIAL,HMO,IBM-MDCR,6
PRIOR,B.O.B,4/1/2017,3/31/2018,1,65 AND OLDER,2,IN,COMMERCIAL,Non-Cap POS,IBM-CCAE,1293
CURRENT,IP,4/1/2018,3/31/2019,0,65 AND OLDER,1,MD,COMMERCIAL,CDHP/HDHP,IBM-CCAE,27
PRIOR,B.O.B,4/1/2017,3/31/2018,0,45-54,1,MN,COMMERCIAL,Unknown,IBM-CCAE,960
CURRENT,B.O.B,4/1/2018,3/31/2019,0,0-17,1,WA,COMMERCIAL,Others,IBM-CCAE,162
CURRENT,IP,4/1/2018,3/31/2019,0,35-44,M,MOUNTAIN,COM,HMO,OPTUM-SES,4
PRIOR,B.O.B,4/1/2017,3/31/2018,1,55-64,1,AZ,COMMERCIAL,CDHP/HDHP,IBM-CCAE,60107
CURRENT,IP,4/1/2018,3/31/2019,1,35-44,1,NJ,COMMERCIAL,PPO,IBM-CCAE,2137
CURRENT,B.O.B,4/1/2018,3/31/2019,1,18-34,F,SOUTH ATLANTIC,MCR,HMO,OPTUM-SES,304
PRIOR,B.O.B,4/1/2017,3/31/2018,1,18-34,2,SC,COMMERCIAL,Non-Cap POS,IBM-CCAE,6444
CURRENT,B.O.B,4/1/2018,3/31/2019,1,35-44,2,NJ,COMMERCIAL,PPO,IBM-CCAE,208625
CURRENT,B.O.B,4/1/2018,3/31/2019,1,55-64,1,CO,COMMERCIAL,Others,IBM-CCAE,4363
PRIOR,B.O.B,4/1/2017,3/31/2018,0,45-54,1,IA,COMMERCIAL,Others,IBM-CCAE,761
CURRENT,B.O.B,4/1/2018,3/31/2019,1,65 AND OLDER,2,ND,COMMERCIAL,CDHP/HDHP,IBM-CCAE,168
CURRENT,IP,4/1/2018,3/31/2019,1,55-64,F,UNKNOWN,COM,POS,OPTUM-SES,9851
PRIOR,B.O.B,4/1/2017,3/31/2018,0,45-54,1,MA,COMMERCIAL,PPO,IBM-CCAE,29658
PRIOR,IP,4/1/2017,3/31/2018,1,18-34,2,GA,COMMERCIAL,Others,IBM-CCAE,20
CURRENT,B.O.B,4/1/2018,3/31/2019,0,45-54,2,VT,COMMERCIAL,HMO,IBM-CCAE,1
PRIOR,B.O.B,4/1/2017,3/31/2018,0,65 AND OLDER,1,ME,COMMERCIAL,CDHP/HDHP,IBM-MDCR,130
PRIOR,IP,4/1/2017,3/31/2018,1,45-54,1,RI,COMMERCIAL,HMO,IBM-CCAE,14
CURRENT,IP,4/1/2018,3/31/2019,0,35-44,2,OK,COMMERCIAL,CDHP/HDHP,IBM-CCAE,47
CURRENT,IP,4/1/2018,3/31/2019,0,65 AND OLDER,F,SOUTH ATLANTIC,COM,EPO,OPTUM-SES,19
PRIOR,B.O.B,4/1/2017,3/31/2018,0,65 AND OLDER,2,OH,COMMERCIAL,Non-Cap POS,IBM-MDCR,316
PRIOR,B.O.B,4/1/2017,3/31/2018,0,18-34,1,TX,COMMERCIAL,Non-Cap POS,IBM-CCAE,45128
CURRENT,IP,4/1/2018,3/31/2019,1,55-64,2,NH,COMMERCIAL,CDHP/HDHP,IBM-CCAE,177
PRIOR,B.O.B,4/1/2017,3/31/2018,1,45-54,1,NC,COMMERCIAL,Unknown,IBM-CCAE,7663
CURRENT,IP,4/1/2018,3/31/2019,1,65 AND OLDER,2,ID,COMMERCIAL,Unknown,IBM-CCAE,25
CURRENT,B.O.B,4/1/2018,3/31/2019,1,18-34,F,UNKNOWN,COM,POS,OPTUM-SES,707122
PRIOR,B.O.B,4/1/2017,3/31/2018,0,35-44,2,MI,COMMERCIAL,CDHP/HDHP,IBM-CCAE,12607
PRIOR,IP,4/1/2017,3/31/2018,0,18-34,2,IN,COMMERCIAL,Others,IBM-CCAE,7
CURRENT,IP,4/1/2018,3/31/2019,1,18-34,2,WI,COMMERCIAL,Non-Cap POS,IBM-CCAE,45
PRIOR,B.O.B,4/1/2017,3/31/2018,0,0-17,1,MS,COMMERCIAL,CDHP/HDHP,IBM-CCAE,3816
PRIOR,IP,4/1/2017,3/31/2018,1,35-44,1,KY,COMMERCIAL,Unknown,IBM-CCAE,5
CURRENT,IP,4/1/2018,3/31/2019,1,35-44,2,MN,COMMERCIAL,Unknown,IBM-CCAE,94
PRIOR,IP,4/1/2017,3/31/2018,1,18-34,1,KS,COMMERCIAL,Cap POS,IBM-CCAE,59
CURRENT,B.O.B,4/1/2018,3/31/2019,0,35-44,1,DC,COMMERCIAL,Unknown,IBM-CCAE,134
PRIOR,B.O.B,4/1/2017,3/31/2018,0,35-44,M,WEST SOUTH CENTRAL,COM,EPO,OPTUM-SES,72942
PRIOR,B.O.B,4/1/2017,3/31/2018,1,65 AND OLDER,1,NV,COMMERCIAL,HMO,IBM-MDCR,1611
PRIOR,IP,4/1/2017,3/31/2018,1,35-44,2,TN,COMMERCIAL,Others,IBM-CCAE,11
CURRENT,IP,4/1/2018,3/31/2019,1,18-34,1,KS,COMMERCIAL,HMO,IBM-CCAE,43
PRIOR,IP,4/1/2017,3/31/2018,1,0-17,1,GA,COMMERCIAL,Unknown,IBM-CCAE,8
CURRENT,IP,4/1/2018,3/31/2019,0,45-54,2,UN,COMMERCIAL,PPO,IBM-CCAE,7286
CURRENT,IP,4/1/2018,3/31/2019,1,18-34,2,RI,COMMERCIAL,PPO,IBM-CCAE,63
PRIOR,IP,4/1/2017,3/31/2018,1,65 AND OLDER,2,OK,COMMERCIAL,Others,IBM-MDCR,12
PRIOR,B.O.B,4/1/2017,3/31/2018,0,55-64,2,KS,COMMERCIAL,Cap POS,IBM-CCAE,1631
CURRENT,IP,4/1/2018,3/31/2019,1,55-64,2,MN,COMMERCIAL,HMO,IBM-CCAE,82
PRIOR,IP,4/1/2017,3/31/2018,1,65 AND OLDER,2,NY,COMMERCIAL,HMO,IBM-MDCR,695
PRIOR,B.O.B,4/1/2017,3/31/2018,1,35-44,1,LA,COMMERCIAL,CDHP/HDHP,IBM-CCAE,15451
CURRENT,B.O.B,4/1/2018,3/31/2019,1,35-44,2,VT,COMMERCIAL,HMO,IBM-CCAE,156
PRIOR,IP,4/1/2017,3/31/2018,1,65 AND OLDER,2,NY,COMMERCIAL,Others,IBM-CCAE,42
PRIOR,B.O.B,4/1/2017,3/31/2018,1,18-34,1,UN,COMMERCIAL,Others,IBM-CCAE,8367
CURRENT,B.O.B,4/1/2018,3/31/2019,1,35-44,1,PR,COMMERCIAL,Others,IBM-CCAE,9
PRIOR,IP,4/1/2017,3/31/2018,1,65 AND OLDER,1,PA,COMMERCIAL,CDHP/HDHP,IBM-MDCR,41
PRIOR,B.O.B,4/1/2017,3/31/2018,0,45-54,2,NJ,COMMERCIAL,PPO,IBM-CCAE,55064
CURRENT,IP,4/1/2018,3/31/2019,0,45-54,1,NY,COMMERCIAL,CDHP/HDHP,IBM-CCAE,107
PRIOR,B.O.B,4/1/2017,3/31/2018,1,55-64,2,WV,COMMERCIAL,Cap POS,IBM-CCAE,10
PRIOR,IP,4/1/2017,3/31/2018,0,65 AND OLDER,1,OR,COMMERCIAL,Others,IBM-CCAE,11
CURRENT,IP,4/1/2018,3/31/2019,1,45-54,2,MS,COMMERCIAL,CDHP/HDHP,IBM-CCAE,170
CURRENT,IP,4/1/2018,3/31/2019,1,65 AND OLDER,1,PA,COMMERCIAL,CDHP/HDHP,IBM-MDCR,55
CURRENT,B.O.B,4/1/2018,3/31/2019,0,65 AND OLDER,1,VT,COMMERCIAL,PPO,IBM-CCAE,463
PRIOR,B.O.B,4/1/2017,3/31/2018,0,65 AND OLDER,F,MIDDLE ATLANTIC,COM,POS,OPTUM-SES,7105
PRIOR,B.O.B,4/1/2017,3/31/2018,0,65 AND OLDER,1,VA,COMMERCIAL,Non-Cap POS,IBM-CCAE,970
CURRENT,IP,4/1/2018,3/31/2019,1,55-64,1,AZ,COMMERCIAL,CDHP/HDHP,IBM-CCAE,828
CURRENT,IP,4/1/2018,3/31/2019,0,45-54,F,MOUNTAIN,MCR,OTH,OPTUM-SES,7
PRIOR,IP,4/1/2017,3/31/2018,1,0-17,1,AZ,COMMERCIAL,CDHP/HDHP,IBM-CCAE,29
CURRENT,B.O.B,4/1/2018,3/31/2019,1,0-17,2,KY,COMMERCIAL,Non-Cap POS,IBM-CCAE,3461
CURRENT,B.O.B,4/1/2018,3/31/2019,1,45-54,M,UNKNOWN,COM,HMO,OPTUM-SES,88064
CURRENT,IP,4/1/2018,3/31/2019,1,65 AND OLDER,1,KY,COMMERCIAL,Others,IBM-MDCR,116
PRIOR,IP,4/1/2017,3/31/2018,0,45-54,2,NM,COMMERCIAL,Others,IBM-CCAE,1
CURRENT,IP,4/1/2018,3/31/2019,1,55-64,1,DE,COMMERCIAL,PPO,IBM-CCAE,830
CURRENT,IP,4/1/2018,3/31/2019,1,65 AND OLDER,2,NM,COMMERCIAL,Others,IBM-MDCR,44
CURRENT,IP,4/1/2018,3/31/2019,1,35-44,F,MOUNTAIN,COM,POS,OPTUM-SES,562
PRIOR,B.O.B,4/1/2017,3/31/2018,0,0-17,1,OH,COMMERCIAL,Others,IBM-CCAE,6202
CURRENT,B.O.B,4/1/2018,3/31/2019,1,55-64,2,MA,COMMERCIAL,Others,IBM-CCAE,738
PRIOR,B.O.B,4/1/2017,3/31/2018,0,0-17,F,MOUNTAIN,COM,PPO,OPTUM-SES,4207
PRIOR,IP,4/1/2017,3/31/2018,1,55-64,2,FL,COMMERCIAL,Unknown,IBM-CCAE,2644
CURRENT,B.O.B,4/1/2018,3/31/2019,1,45-54,1,FL,COMMERCIAL,Unknown,IBM-CCAE,96961
CURRENT,B.O.B,4/1/2018,3/31/2019,1,65 AND OLDER,M,SOUTH ATLANTIC,COM,OTH,OPTUM-SES,83
PRIOR,IP,4/1/2017,3/31/2018,0,55-64,1,CT,COMMERCIAL,Non-Cap POS,IBM-CCAE,367
PRIOR,B.O.B,4/1/2017,3/31/2018,1,35-44,1,WI,COMMERCIAL,CDHP/HDHP,IBM-CCAE,46588
CURRENT,B.O.B,4/1/2018,3/31/2019,1,35-44,2,NY,COMMERCIAL,Others,IBM-CCAE,2816
PRIOR,IP,4/1/2017,3/31/2018,1,65 AND OLDER,2,OK,COMMERCIAL,Unknown,IBM-MDCR,37
PRIOR,IP,4/1/2017,3/31/2018,1,55-64,1,LA,COMMERCIAL,CDHP/HDHP,IBM-CCAE,197
CURRENT,B.O.B,4/1/2018,3/31/2019,1,45-54,1,UT,COMMERCIAL,Others,IBM-CCAE,442
PRIOR,B.O.B,4/1/2017,3/31/2018,0,65 AND OLDER,2,IA,COMMERCIAL,PPO,IBM-MDCR,838
PRIOR,B.O.B,4/1/2017,3/31/2018,0,35-44,2,WI,COMMERCIAL,Unknown,IBM-CCAE,531
CURRENT,IP,4/1/2018,3/31/2019,1,35-44,1,IL,COMMERCIAL,PPO,IBM-CCAE,2723
CURRENT,B.O.B,4/1/2018,3/31/2019,0,45-54,1,UN,COMMERCIAL,Others,IBM-MDCR,115
PRIOR,IP,4/1/2017,3/31/2018,1,18-34,2,DE,COMMERCIAL,CDHP/HDHP,IBM-CCAE,28
CURRENT,B.O.B,4/1/2018,3/31/2019,1,0-17,2,WV,COMMERCIAL,Non-Cap POS,IBM-CCAE,2690
PRIOR,B.O.B,4/1/2017,3/31/2018,0,0-17,2,CT,COMMERCIAL,CDHP/HDHP,IBM-CCAE,18056
PRIOR,IP,4/1/2017,3/31/2018,0,65 AND OLDER,1,GA,COMMERCIAL,HMO,IBM-CCAE,129
CURRENT,IP,4/1/2018,3/31/2019,1,55-64,2,LA,COMMERCIAL,HMO,IBM-CCAE,210
PRIOR,B.O.B,4/1/2017,3/31/2018,1,35-44,1,NC,COMMERCIAL,Others,IBM-CCAE,6348
CURRENT,B.O.B,4/1/2018,3/31/2019,1,45-54,2,AK,COMMERCIAL,Non-Cap POS,IBM-CCAE,48
CURRENT,IP,4/1/2018,3/31/2019,0,65 AND OLDER,M,NEW ENGLAND,MCR,OTH,OPTUM-SES,100
PRIOR,B.O.B,4/1/2017,3/31/2018,0,45-54,1,GA,COMMERCIAL,Others,IBM-MDCR,37
PRIOR,IP,4/1/2017,3/31/2018,0,18-34,1,NE,COMMERCIAL,CDHP/HDHP,IBM-CCAE,50
CURRENT,IP,4/1/2018,3/31/2019,0,65 AND OLDER,1,KS,COMMERCIAL,Unknown,IBM-CCAE,1
PRIOR,B.O.B,4/1/2017,3/31/2018,0,35-44,1,PA,COMMERCIAL,HMO,IBM-MDCR,10
CURRENT,B.O.B,4/1/2018,3/31/2019,1,65 AND OLDER,2,MN,COMMERCIAL,HMO,IBM-CCAE,396
PRIOR,IP,4/1/2017,3/31/2018,1,45-54,F,MOUNTAIN,COM,PPO,OPTUM-SES,42
PRIOR,IP,4/1/2017,3/31/2018,1,18-34,2,PR,COMMERCIAL,HMO,IBM-CCAE,9
CURRENT,IP,4/1/2018,3/31/2019,0,35-44,2,WI,COMMERCIAL,Non-Cap POS,IBM-CCAE,1
PRIOR,B.O.B,4/1/2017,3/31/2018,1,45-54,2,MD,COMMERCIAL,PPO,IBM-MDCR,12
PRIOR,IP,4/1/2017,3/31/2018,0,65 AND OLDER,1,VA,COMMERCIAL,Non-Cap POS,IBM-CCAE,7
PRIOR,IP,4/1/2017,3/31/2018,0,65 AND OLDER,2,ID,COMMERCIAL,Unknown,IBM-CCAE,19
CURRENT,B.O.B,4/1/2018,3/31/2019,1,0-17,1,LA,COMMERCIAL,HMO,IBM-CCAE,16677
PRIOR,B.O.B,4/1/2017,3/31/2018,0,65 AND OLDER,2,CT,COMMERCIAL,CDHP/HDHP,IBM-CCAE,2212
CURRENT,B.O.B,4/1/2018,3/31/2019,1,65 AND OLDER,1,MN,COMMERCIAL,HMO,IBM-CCAE,470
CURRENT,IP,4/1/2018,3/31/2019,1,65 AND OLDER,F,EAST NORTH CENTRAL,MCR,OTH,OPTUM-SES,20135
PRIOR,B.O.B,4/1/2017,3/31/2018,1,0-17,2,WI,COMMERCIAL,PPO,IBM-CCAE,89558
CURRENT,B.O.B,4/1/2018,3/31/2019,0,45-54,2,SC,COMMERCIAL,Unknown,IBM-CCAE,9273
CURRENT,IP,4/1/2018,3/31/2019,1,55-64,2,NV,COMMERCIAL,CDHP/HDHP,IBM-CCAE,329
PRIOR,B.O.B,4/1/2017,3/31/2018,0,55-64,2,IL,COMMERCIAL,PPO,IBM-MDCR,59
PRIOR,B.O.B,4/1/2017,3/31/2018,0,45-54,2,AZ,COMMERCIAL,Others,IBM-CCAE,958
CURRENT,B.O.B,4/1/2018,3/31/2019,0,65 AND OLDER,1,WI,COMMERCIAL,CDHP/HDHP,IBM-CCAE,2287
PRIOR,B.O.B,4/1/2017,3/31/2018,0,55-64,2,CT,COMMERCIAL,Unknown,IBM-CCAE,933
CURRENT,B.O.B,4/1/2018,3/31/2019,1,45-54,2,PR,COMMERCIAL,CDHP/HDHP,IBM-CCAE,48
CURRENT,IP,4/1/2018,3/31/2019,0,65 AND OLDER,2,NM,COMMERCIAL,CDHP/HDHP,IBM-CCAE,6
PRIOR,B.O.B,4/1/2017,3/31/2018,0,65 AND OLDER,1,AR,COMMERCIAL,PPO,IBM-MDCR,3005
CURRENT,IP,4/1/2018,3/31/2019,1,65 AND OLDER,1,HI,COMMERCIAL,PPO,IBM-CCAE,3
PRIOR,B.O.B,4/1/2017,3/31/2018,0,65 AND OLDER,2,KS,COMMERCIAL,CDHP/HDHP,IBM-MDCR,21
PRIOR,IP,4/1/2017,3/31/2018,0,18-34,2,KS,COMMERCIAL,HMO,IBM-CCAE,5
CURRENT,IP,4/1/2018,3/31/2019,1,65 AND OLDER,1,DE,COMMERCIAL,PPO,IBM-CCAE,71
PRIOR,IP,4/1/2017,3/31/2018,0,65 AND OLDER,1,NE,COMMERCIAL,CDHP/HDHP,IBM-CCAE,3
CURRENT,B.O.B,4/1/2018,3/31/2019,1,35-44,2,VA,COMMERCIAL,Others,IBM-CCAE,10839
CURRENT,IP,4/1/2018,3/31/2019,1,18-34,M,MIDDLE ATLANTIC,COM,HMO,OPTUM-SES,30
PRIOR,B.O.B,4/1/2017,3/31/2018,1,18-34,2,DC,COMMERCIAL,Others,IBM-CCAE,525
CURRENT,B.O.B,4/1/2018,3/31/2019,1,18-34,2,WY,COMMERCIAL,Unknown,IBM-CCAE,1541
CURRENT,B.O.B,4/1/2018,3/31/2019,1,18-34,2,UT,COMMERCIAL,Unknown,IBM-CCAE,2773
PRIOR,B.O.B,4/1/2017,3/31/2018,1,0-17,1,MO,COMMERCIAL,CDHP/HDHP,IBM-CCAE,68960
CURRENT,B.O.B,4/1/2018,3/31/2019,1,0-17,1,DE,COMMERCIAL,CDHP/HDHP,IBM-CCAE,4445
CURRENT,B.O.B,4/1/2018,3/31/2019,0,55-64,M,MIDDLE ATLANTIC,COM,PPO,OPTUM-SES,26
PRIOR,IP,4/1/2017,3/31/2018,0,55-64,1,IL,COMMERCIAL,CDHP/HDHP,IBM-CCAE,159
CURRENT,IP,4/1/2018,3/31/2019,1,18-34,1,WA,COMMERCIAL,CDHP/HDHP,IBM-CCAE,152
CURRENT,B.O.B,4/1/2018,3/31/2019,1,65 AND OLDER,M,UNKNOWN,MCR,PPO,OPTUM-SES,211931
PRIOR,IP,4/1/2017,3/31/2018,0,45-54,1,MI,COMMERCIAL,CDHP/HDHP,IBM-CCAE,85
CURRENT,IP,4/1/2018,3/31/2019,0,55-64,1,KY,COMMERCIAL,Unknown,IBM-CCAE,3
PRIOR,IP,4/1/2017,3/31/2018,1,65 AND OLDER,F,EAST SOUTH CENTRAL,MCR,PPO,OPTUM-SES,9
PRIOR,IP,4/1/2017,3/31/2018,1,18-34,2,MD,COMMERCIAL,HMO,IBM-CCAE,60
PRIOR,IP,4/1/2017,3/31/2018,1,35-44,1,MI,COMMERCIAL,Unknown,IBM-CCAE,86
CURRENT,IP,4/1/2018,3/31/2019,1,55-64,2,KS,COMMERCIAL,Cap POS,IBM-CCAE,93
PRIOR,B.O.B,4/1/2017,3/31/2018,0,65 AND OLDER,1,IN,COMMERCIAL,HMO,IBM-CCAE,322
CURRENT,B.O.B,4/1/2018,3/31/2019,0,0-17,2,UN,COMMERCIAL,CDHP/HDHP,IBM-CCAE,279194
CURRENT,B.O.B,4/1/2018,3/31/2019,0,18-34,F,PACIFIC,COM,EPO,OPTUM-SES,2722
PRIOR,IP,4/1/2017,3/31/2018,0,65 AND OLDER,1,FL,COMMERCIAL,Cap POS,IBM-MDCR,447
PRIOR,B.O.B,4/1/2017,3/31/2018,0,18-34,1,WA,COMMERCIAL,HMO,IBM-CCAE,3463
CURRENT,IP,4/1/2018,3/31/2019,1,45-54,2,CO,COMMERCIAL,PPO,IBM-CCAE,1435
PRIOR,B.O.B,4/1/2017,3/31/2018,1,0-17,1,VT,COMMERCIAL,HMO,IBM-CCAE,384
PRIOR,B.O.B,4/1/2017,3/31/2018,0,65 AND OLDER,1,AL,COMMERCIAL,Others,IBM-CCAE,1208
CURRENT,B.O.B,4/1/2018,3/31/2019,1,18-34,2,DE,COMMERCIAL,PPO,IBM-CCAE,101366
PRIOR,B.O.B,4/1/2017,3/31/2018,1,0-17,1,NC,COMMERCIAL,Non-Cap POS,IBM-CCAE,14267
CURRENT,B.O.B,4/1/2018,3/31/2019,0,18-34,1,ND,COMMERCIAL,CDHP/HDHP,IBM-CCAE,967
CURRENT,B.O.B,4/1/2018,3/31/2019,1,18-34,F,MOUNTAIN,COM,HMO,OPTUM-SES,6772
CURRENT,B.O.B,4/1/2018,3/31/2019,0,65 AND OLDER,1,TX,COMMERCIAL,PPO,IBM-MDCR,6969
PRIOR,B.O.B,4/1/2017,3/31/2018,1,65 AND OLDER,2,VT,COMMERCIAL,Non-Cap POS,IBM-CCAE,257
CURRENT,IP,4/1/2018,3/31/2019,0,35-44,1,AZ,COMMERCIAL,HMO,IBM-CCAE,4
PRIOR,IP,4/1/2017,3/31/2018,1,35-44,1,CO,COMMERCIAL,HMO,IBM-CCAE,42
CURRENT,IP,4/1/2018,3/31/2019,1,55-64,2,NC,COMMERCIAL,HMO,IBM-CCAE,995
CURRENT,B.O.B,4/1/2018,3/31/2019,0,65 AND OLDER,M,UNKNOWN,COM,OTH,OPTUM-SES,10080
PRIOR,IP,4/1/2017,3/31/2018,0,55-64,1,UT,COMMERCIAL,CDHP/HDHP,IBM-CCAE,38
CURRENT,B.O.B,4/1/2018,3/31/2019,1,45-54,1,DC,COMMERCIAL,HMO,IBM-CCAE,609
CURRENT,B.O.B,4/1/2018,3/31/2019,1,65 AND OLDER,M,MOUNTAIN,COM,POS,OPTUM-SES,4641
PRIOR,B.O.B,4/1/2017,3/31/2018,1,55-64,1,MN,COMMERCIAL,PPO,IBM-CCAE,73029
CURRENT,B.O.B,4/1/2018,3/31/2019,0,65 AND OLDER,2,OK,COMMERCIAL,Non-Cap POS,IBM-CCAE,635
CURRENT,B.O.B,4/1/2018,3/31/2019,1,55-64,2,NJ,COMMERCIAL,Unknown,IBM-CCAE,11897
PRIOR,IP,4/1/2017,3/31/2018,1,0-17,2,PA,COMMERCIAL,Non-Cap POS,IBM-CCAE,46
CURRENT,B.O.B,4/1/2018,3/31/2019,0,55-64,2,ME,COMMERCIAL,CDHP/HDHP,IBM-CCAE,638
CURRENT,IP,4/1/2018,3/31/2019,0,35-44,F,WEST SOUTH CENTRAL,COM,POS,OPTUM-SES,217
PRIOR,B.O.B,4/1/2017,3/31/2018,0,45-54,2,IN,COMMERCIAL,PPO,IBM-CCAE,37912
PRIOR,B.O.B,4/1/2017,3/31/2018,1,18-34,1,NC,COMMERCIAL,Non-Cap POS,IBM-CCAE,15815
CURRENT,B.O.B,4/1/2018,3/31/2019,1,45-54,1,TX,COMMERCIAL,Unknown,IBM-CCAE,56701
CURRENT,B.O.B,4/1/2018,3/31/2019,1,65 AND OLDER,2,LA,COMMERCIAL,CDHP/HDHP,IBM-MDCR,27
PRIOR,IP,4/1/2017,3/31/2018,0,45-54,2,GA,COMMERCIAL,Others,IBM-CCAE,17
CURRENT,IP,4/1/2018,3/31/2019,0,18-34,2,LA,COMMERCIAL,CDHP/HDHP,IBM-CCAE,12
PRIOR,B.O.B,4/1/2017,3/31/2018,0,18-34,1,TX,COMMERCIAL,Cap POS,IBM-CCAE,22
CURRENT,B.O.B,4/1/2018,3/31/2019,0,18-34,1,NH,COMMERCIAL,Others,IBM-CCAE,180
CURRENT,IP,4/1/2018,3/31/2019,1,35-44,2,VA,COMMERCIAL,CDHP/HDHP,IBM-CCAE,388
PRIOR,B.O.B,4/1/2017,3/31/2018,1,18-34,1,IL,COMMERCIAL,Unknown,IBM-CCAE,8660
CURRENT,IP,4/1/2018,3/31/2019,1,65 AND OLDER,2,IN,COMMERCIAL,Non-Cap POS,IBM-CCAE,83
PRIOR,B.O.B,4/1/2017,3/31/2018,1,0-17,M,EAST NORTH CENTRAL,COM,OTH,OPTUM-SES,1763
PRIOR,B.O.B,4/1/2017,3/31/2018,1,0-17,1,GA,COMMERCIAL,Non-Cap POS,IBM-CCAE,19316
PRIOR,IP,4/1/2017,3/31/2018,0,0-17,2,UN,COMMERCIAL,HMO,IBM-CCAE,31
CURRENT,IP,4/1/2018,3/31/2019,1,45-54,1,KS,COMMERCIAL,Cap POS,IBM-CCAE,67
CURRENT,B.O.B,4/1/2018,3/31/2019,1,35-44,1,PA,COMMERCIAL,PPO,IBM-MDCR,24
PRIOR,B.O.B,4/1/2017,3/31/2018,1,35-44,2,NM,COMMERCIAL,HMO,IBM-CCAE,2672
CURRENT,IP,4/1/2018,3/31/2019,0,35-44,2,UN,COMMERCIAL,Unknown,IBM-CCAE,337
PRIOR,B.O.B,4/1/2017,3/31/2018,0,45-54,1,OR,COMMERCIAL,Others,IBM-CCAE,41
CURRENT,B.O.B,4/1/2018,3/31/2019,0,55-64,2,MT,COMMERCIAL,CDHP/HDHP,IBM-CCAE,907
CURRENT,B.O.B,4/1/2018,3/31/2019,0,35-44,F,EAST NORTH CENTRAL,COM,HMO,OPTUM-SES,1341
PRIOR,IP,4/1/2017,3/31/2018,1,18-34,2,FL,COMMERCIAL,Others,IBM-CCAE,88
CURRENT,IP,4/1/2018,3/31/2019,0,55-64,1,DE,COMMERCIAL,CDHP/HDHP,IBM-CCAE,9
PRIOR,B.O.B,4/1/2017,3/31/2018,0,18-34,M,EAST SOUTH CENTRAL,MCR,OTH,OPTUM-SES,602
PRIOR,IP,4/1/2017,3/31/2018,1,18-34,1,AZ,COMMERCIAL,CDHP/HDHP,IBM-CCAE,267
CURRENT,B.O.B,4/1/2018,3/31/2019,0,65 AND OLDER,2,RI,COMMERCIAL,CDHP/HDHP,IBM-CCAE,98
PRIOR,IP,4/1/2017,3/31/2018,0,65 AND OLDER,M,SOUTH ATLANTIC,COM,EPO,OPTUM-SES,80
PRIOR,B.O.B,4/1/2017,3/31/2018,0,0-17,2,NM,COMMERCIAL,HMO,IBM-CCAE,555
PRIOR,B.O.B,4/1/2017,3/31/2018,1,45-54,1,KY,COMMERCIAL,CDHP/HDHP,IBM-CCAE,25552
CURRENT,B.O.B,4/1/2018,3/31/2019,1,18-34,1,DC,COMMERCIAL,HMO,IBM-CCAE,740
PRIOR,B.O.B,4/1/2017,3/31/2018,1,55-64,1,CO,COMMERCIAL,Non-Cap POS,IBM-CCAE,6783
CURRENT,IP,4/1/2018,3/31/2019,1,18-34,2,SC,COMMERCIAL,HMO,IBM-CCAE,589
CURRENT,IP,4/1/2018,3/31/2019,1,45-54,F,NEW ENGLAND,MCR,OTH,OPTUM-SES,118
PRIOR,IP,4/1/2017,3/31/2018,1,18-34,2,MD,COMMERCIAL,CDHP/HDHP,IBM-CCAE,254
